Count,Filename_0,Dev6/ai0,Dev6/ai1,-,load,displacement
326,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00326_0.tif,2.1815,2.1441,0,654.45,21.441
327,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00327_0.tif,2.1713,2.1543,0,651.39,21.543
328,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00328_0.tif,2.1662,2.1594,0,649.86,21.594
329,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00329_0.tif,2.1611,2.1645,0,648.33,21.645
330,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00330_0.tif,2.1509,2.1746,0,645.27,21.746
331,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00331_0.tif,2.1458,2.1797,0,643.74,21.797
332,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00332_0.tif,2.1357,2.1848,0,640.71,21.848
333,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00333_0.tif,2.1255,2.1899,0,637.65,21.899
334,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00334_0.tif,2.1204,2.2001,0,636.12,22.001
335,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00335_0.tif,2.1102,2.2102,0,633.06,22.102
336,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00336_0.tif,2.1052,2.2102,0,631.56,22.102
337,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00337_0.tif,2.095,2.2204,0,628.5,22.204
338,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00338_0.tif,2.0899,2.2255,0,626.97,22.255
339,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00339_0.tif,2.0797,2.2306,0,623.91,22.306
340,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00340_0.tif,2.0696,2.2408,0,620.88,22.408
341,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00341_0.tif,2.0645,2.2459,0,619.35,22.459
342,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00342_0.tif,2.0543,2.2509,0,616.29,22.509
343,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00343_0.tif,2.0492,2.2611,0,614.76,22.611
344,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00344_0.tif,2.039,2.2662,0,611.7,22.662
345,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00345_0.tif,2.034,2.2713,0,610.2,22.713
346,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00346_0.tif,2.0289,2.2815,0,608.67,22.815
347,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00347_0.tif,2.0187,2.2866,0,605.61,22.866
348,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00348_0.tif,2.0085,2.2916,0,602.55,22.916
349,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00349_0.tif,2.0034,2.2967,0,601.02,22.967
350,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00350_0.tif,1.9983,2.3069,0,599.49,23.069
351,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00351_0.tif,1.9882,2.312,0,596.46,23.12
352,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00352_0.tif,1.9831,2.3222,0,594.93,23.222
353,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00353_0.tif,1.9729,2.3273,0,591.87,23.273
354,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00354_0.tif,1.9678,2.3323,0,590.34,23.323
355,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00355_0.tif,1.9627,2.3374,0,588.81,23.374
356,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00356_0.tif,1.9526,2.3476,0,585.78,23.476
357,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00357_0.tif,1.9475,2.3527,0,584.25,23.527
358,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00358_0.tif,1.9373,2.3578,0,581.19,23.578
359,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00359_0.tif,1.9271,2.368,0,578.13,23.68
360,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00360_0.tif,1.9271,2.373,0,578.13,23.73
361,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00361_0.tif,1.917,2.3781,0,575.1,23.781
362,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00362_0.tif,1.9119,2.3883,0,573.57,23.883
363,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00363_0.tif,1.9017,2.3934,0,570.51,23.934
364,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00364_0.tif,1.8966,2.3985,0,568.98,23.985
365,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00365_0.tif,1.8915,2.4087,0,567.45,24.087
366,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00366_0.tif,1.8814,2.4137,0,564.42,24.137
367,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00367_0.tif,1.8763,2.4137,0,562.89,24.137
368,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00368_0.tif,1.8661,2.4239,0,559.83,24.239
369,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00369_0.tif,1.861,2.4341,0,558.3,24.341
370,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00370_0.tif,1.8508,2.4392,0,555.24,24.392
371,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00371_0.tif,1.8458,2.4443,0,553.74,24.443
372,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00372_0.tif,1.8407,2.4544,0,552.21,24.544
373,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00373_0.tif,1.8305,2.4595,0,549.15,24.595
374,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00374_0.tif,1.8254,2.4646,0,547.62,24.646
375,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00375_0.tif,1.8152,2.4748,0,544.56,24.748
376,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00376_0.tif,1.8051,2.4799,0,541.53,24.799
377,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00377_0.tif,1.8,2.485,0,540,24.85
378,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00378_0.tif,1.7949,2.4952,0,538.47,24.952
379,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00379_0.tif,1.7847,2.5002,0,535.41,25.002
380,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00380_0.tif,1.7796,2.5053,0,533.88,25.053
381,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00381_0.tif,1.7746,2.5155,0,532.38,25.155
382,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00382_0.tif,1.7644,2.5206,0,529.32,25.206
383,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00383_0.tif,1.7593,2.5257,0,527.79,25.257
384,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00384_0.tif,1.7491,2.5308,0,524.73,25.308
385,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00385_0.tif,1.744,2.5409,0,523.2,25.409
386,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00386_0.tif,1.739,2.546,0,521.7,25.46
387,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00387_0.tif,1.7288,2.5511,0,518.64,25.511
388,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00388_0.tif,1.7237,2.5613,0,517.11,25.613
389,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00389_0.tif,1.7186,2.5664,0,515.58,25.664
390,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00390_0.tif,1.7084,2.5766,0,512.52,25.766
391,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00391_0.tif,1.7033,2.5766,0,510.99,25.766
392,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00392_0.tif,1.6983,2.5867,0,509.49,25.867
393,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00393_0.tif,1.6881,2.5918,0,506.43,25.918
394,D:/Zhiyuan/20231219-CT/Pure_S3\Cali-00394_0.tif,1.683,2.602,0,504.9,26.02
