Count,Filename_0,Dev6/ai0,Dev6/ai1,,Load (N),displacement(mm)
113,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00113_0.tif,4.6025,0.7247,,1380.75,7.247
114,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00114_0.tif,4.5974,0.7297,,1379.22,7.297
115,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00115_0.tif,4.5923,0.7399,,1377.69,7.399
116,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00116_0.tif,4.5872,0.745,,1376.16,7.45
117,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00117_0.tif,4.5821,0.7501,,1374.63,7.501
118,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00118_0.tif,4.572,0.7603,,1371.6,7.603
119,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00119_0.tif,4.572,0.7654,,1371.6,7.654
120,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00120_0.tif,4.5618,0.7704,,1368.54,7.704
121,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00121_0.tif,4.5516,0.7806,,1365.48,7.806
122,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00122_0.tif,4.5465,0.7857,,1363.95,7.857
123,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00123_0.tif,4.5364,0.7908,,1360.92,7.908
124,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00124_0.tif,4.5262,0.801,,1357.86,8.01
125,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00125_0.tif,4.516,0.8061,,1354.8,8.061
126,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00126_0.tif,4.5058,0.8111,,1351.74,8.111
127,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00127_0.tif,4.5008,0.8213,,1350.24,8.213
128,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00128_0.tif,4.4906,0.8264,,1347.18,8.264
129,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00129_0.tif,4.4855,0.8264,,1345.65,8.264
130,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00130_0.tif,4.4753,0.8417,,1342.59,8.417
131,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00131_0.tif,4.4652,0.8468,,1339.56,8.468
132,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00132_0.tif,4.4499,0.8518,,1334.97,8.518
133,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00133_0.tif,4.4397,0.8569,,1331.91,8.569
134,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00134_0.tif,4.4295,0.862,,1328.85,8.62
135,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00135_0.tif,4.4245,0.8722,,1327.35,8.722
136,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00136_0.tif,4.4092,0.8773,,1322.76,8.773
137,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00137_0.tif,4.4041,0.8875,,1321.23,8.875
138,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00138_0.tif,4.3889,0.8925,,1316.67,8.925
139,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00139_0.tif,4.3787,0.8976,,1313.61,8.976
140,D:/Zhiyuan/20231113_CT/T8Pure\Cali-00140_0.tif,4.3685,0.9078,,1310.55,9.078
