Count,Filename_0,Dev6/ai0,Dev6/ai1,,load,displacement
226,D:/Zhiyuan/20231102-CT/T8Pure\S1-00226_0.tif,1.5202,3.2329,,969.87,15.202
227,D:/Zhiyuan/20231102-CT/T8Pure\S1-00227_0.tif,1.5253,3.2278,,968.34,15.253
228,D:/Zhiyuan/20231102-CT/T8Pure\S1-00228_0.tif,1.5355,3.2176,,965.28,15.355
229,D:/Zhiyuan/20231102-CT/T8Pure\S1-00229_0.tif,1.5406,3.2023,,960.69,15.406
230,D:/Zhiyuan/20231102-CT/T8Pure\S1-00230_0.tif,1.5457,3.1972,,959.16,15.457
231,D:/Zhiyuan/20231102-CT/T8Pure\S1-00231_0.tif,1.5558,3.1871,,956.13,15.558
232,D:/Zhiyuan/20231102-CT/T8Pure\S1-00232_0.tif,1.5609,3.182,,954.6,15.609
233,D:/Zhiyuan/20231102-CT/T8Pure\S1-00233_0.tif,1.566,3.1718,,951.54,15.66
234,D:/Zhiyuan/20231102-CT/T8Pure\S1-00234_0.tif,1.5762,3.1616,,948.48,15.762
235,D:/Zhiyuan/20231102-CT/T8Pure\S1-00235_0.tif,1.5813,3.1515,,945.45,15.813
236,D:/Zhiyuan/20231102-CT/T8Pure\S1-00236_0.tif,1.5864,3.1413,,942.39,15.864
237,D:/Zhiyuan/20231102-CT/T8Pure\S1-00237_0.tif,1.5915,3.1362,,940.86,15.915
238,D:/Zhiyuan/20231102-CT/T8Pure\S1-00238_0.tif,1.6016,3.126,,937.8,16.016
239,D:/Zhiyuan/20231102-CT/T8Pure\S1-00239_0.tif,1.6067,3.1158,,934.74,16.067
240,D:/Zhiyuan/20231102-CT/T8Pure\S1-00240_0.tif,1.6118,3.1057,,931.71,16.118
241,D:/Zhiyuan/20231102-CT/T8Pure\S1-00241_0.tif,1.622,3.1006,,930.18,16.22
242,D:/Zhiyuan/20231102-CT/T8Pure\S1-00242_0.tif,1.622,3.0904,,927.12,16.22
243,D:/Zhiyuan/20231102-CT/T8Pure\S1-00243_0.tif,1.6321,3.0802,,924.06,16.321
244,D:/Zhiyuan/20231102-CT/T8Pure\S1-00244_0.tif,1.6372,3.0701,,921.03,16.372
